symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason,days_held,signal_type,quality,delta,theta_cost,iv_crush
RIOT,2020-02-20,2020-02-21,1.4199999570846558,1.409999966621399,1.325464804418179,-33.786096060171246,-17.950703809148273,Stop Loss,1,trend,1,0.645,0.021299999356269837,0.21299999356269836
MSTR,2020-02-12,2020-02-24,14.984000205993652,14.588000297546387,0.18070797190100302,-55.63311738481372,-20.54604874036898,Stop Loss,12,trend,1,0.5900000000000001,2.6971200370788573,0.0
MARA,2020-02-21,2020-02-24,1.0299999713897705,0.9800000190734863,1.555027707724508,-13.707564327479735,-8.558249595556433,Exit Signal,3,trend,1,0.635,0.04634999871253967,0.0
RIOT,2020-02-21,2020-02-25,1.409999966621399,1.2599999904632568,1.1359422215480184,-19.305336503354216,-12.053190805801552,Exit Signal,4,trend,1,0.48,0.08459999799728393,0.0
NVDA,2020-02-24,2020-03-05,6.801996231079102,6.806313991546631,0.2218796072376029,-24.090585666633235,-15.96223068359783,Stop Loss,10,trend,1,0.6,1.0202994346618652,0.0
NET,2020-02-24,2020-03-09,19.809999465942383,20.739999771118164,0.11427745781453691,-43.693411260126716,-19.30060479610096,Stop Loss,14,trend,2,0.5800000000000001,4.1600998878479,0.0
NVDA,2020-03-05,2020-03-09,6.806313991546631,6.112707614898682,0.21323774137162646,-17.184936373339422,-11.840549955775849,Exit Signal,4,trend,1,0.48,0.40837883949279785,0.0
NET,2020-03-30,2020-04-01,23.889999389648438,24.1200008392334,0.11470840748863757,-50.26004956279594,-18.340514872369713,Stop Loss,2,trend,3,0.6900000000000001,0.7166999816894531,3.5834999084472656
NET,2020-04-01,2020-04-02,24.1200008392334,23.059999465942383,0.10805791440178945,-53.51461335459633,-20.532342131518952,Stop Loss,1,trend,3,0.6950000000000001,0.361800012588501,3.6180001258850094
NET,2020-04-02,2020-04-06,23.059999465942383,23.639999389648438,0.10683657447968788,-50.017678369095364,-20.302255170995124,Stop Loss,4,trend,3,0.68,1.383599967956543,3.4589999198913572
NVDA,2020-04-06,2020-04-08,6.68452787399292,6.648415565490723,0.34860665086909665,-45.13749249924612,-19.370062505390205,Stop Loss,2,trend,3,0.6900000000000001,0.2005358362197876,1.002679181098938
NVDA,2020-04-08,2020-04-21,6.648415565490723,6.712172985076904,0.16619781106944265,-22.036930410993413,-19.943787726628727,Stop Loss,13,trend,1,0.585,1.296441035270691,0.0
RIOT,2020-04-20,2020-04-21,1.100000023841858,1.0199999809265137,2.009003800209777,-14.203661642951923,-6.427274748904602,Exit Signal,1,trend,3,0.545,0.01650000035762787,0.0
NVDA,2020-04-21,2020-04-23,6.712172985076904,7.073297500610352,0.15742015693107206,-15.897646742367314,-15.045594779705418,Stop Loss,2,trend,1,0.74,0.20136518955230712,1.0068259477615356
MSTR,2020-04-20,2020-04-30,12.692000389099121,12.633000373840332,0.17411788216041785,-36.02107342199308,-16.299834609795656,Stop Loss,10,trend,3,0.65,1.903800058364868,0.0
NVDA,2020-04-23,2020-04-30,7.073297500610352,7.279262065887451,0.14638638658232675,-25.599838334938262,-24.723765014716413,Stop Loss,7,trend,1,0.615,0.7426962375640869,1.0609946250915527
SMCI,2020-04-30,2020-05-01,2.2899999618530273,2.2230000495910645,0.41627653386023306,-18.467273256256647,-19.372486662094023,Stop Loss,1,trend,1,0.645,0.03434999942779541,0.3434999942779541
RIOT,2020-04-22,2020-05-04,1.0700000524520874,1.1200000047683716,0.9875058624883785,-17.18754327539337,-16.266357881198697,Stop Loss,12,trend,1,0.5900000000000001,0.19260000944137573,0.0
