entry_date,exit_date,symbol,strategy,quality,shares,entry_price,exit_price,leveraged_value,exit_value,pnl,pnl_pct,days_held,exit_reason
2023-08-02,2023-08-08,PLTR,TREND_FOLLOW,3,28349.425549680825,18.969999313354492,17.040000915527344,537788.5832114395,483074.23732123553,-54714.345890204015,-10.173950804882049,6,STOP_LOSS
2023-07-26,2023-08-09,META,PULLBACK,3,2548.5156741668784,296.74066162109375,303.3399658203125,756248.2273040073,773066.6574943116,16818.430190304294,2.2239298662902365,14,TIME_EXIT
2023-08-09,2023-08-16,META,PULLBACK,3,2758.2939398836606,303.3399658203125,292.4869079589844,836700.7894466848,806764.8657185766,-29935.923728108173,-3.5778529320983403,7,RSI_SELL
2023-08-28,2023-09-11,NVDA,TREND_FOLLOW,3,17157.305320765015,46.80355453491211,45.151390075683594,803022.875252563,774676.1851854628,-28346.690067100222,-3.529997829536893,14,RSI_SELL
2023-09-11,2023-09-19,NET,TREND_FOLLOW,3,8744.037508516216,65.45999908447266,60.16999816894531,572384.687302066,526128.7208766098,-46255.96642545622,-8.081272516824939,8,STOP_LOSS
2023-09-06,2023-09-20,TSLA,TREND_FOLLOW,3,1753.185870907784,251.9199981689453,262.5899963378906,441662.5813889097,460369.0714213166,18706.490032406873,4.235470882224165,14,TIME_EXIT
2023-09-20,2023-09-25,TSLA,PULLBACK,3,1926.8961832451996,262.5899963378906,246.99000549316406,505983.6617018524,475924.0988844887,-30059.56281736371,-5.9408168865096895,5,RSI_SELL
2023-09-19,2023-09-29,META,TREND_FOLLOW,3,1716.1782244825242,303.20086669921875,298.37060546875,520346.7250734277,512057.1359311351,-8289.589142292622,-1.5930895195165977,10,RSI_SELL
2023-10-02,2023-10-04,META,PULLBACK,3,2285.684421314966,304.94012451171875,303.7077331542969,696996.8920302816,694180.0343036592,-2816.857726622373,-0.40414207851302614,2,RSI_SELL
2023-10-12,2023-10-18,NVDA,TREND_FOLLOW,3,4473.46119300824,46.91735076904297,42.171142578125,209882.94794406902,188650.96978805965,-21231.97815600937,-10.116104411525326,6,STOP_LOSS
2023-10-05,2023-10-19,META,PULLBACK,3,2290.446173670852,302.922607421875,310.8934326171875,693827.9270878313,712084.673157434,18256.74606960267,2.63130746930738,14,TIME_EXIT
2023-10-06,2023-10-20,PLTR,TREND_FOLLOW,3,22974.433827563258,16.610000610351562,16.110000610351562,381605.3598983073,370118.14298452565,-11487.216913781653,-3.0102346877000996,14,TIME_EXIT
2023-10-18,2023-10-20,NET,PULLBACK,3,2979.288348700173,62.43000030517578,59.380001068115234,185996.97251855847,176910.14532803957,-9086.827190518903,-4.885470482382305,2,RSI_SELL
2023-10-20,2023-10-26,PLTR,PULLBACK,3,41423.647802004816,16.110000610351562,15.289999961853027,667334.9913732858,633367.5733124668,-33967.41806081892,-5.090010039922908,6,RSI_SELL
2023-10-20,2023-10-26,META,PULLBACK,3,1196.4907796350776,306.7589416503906,286.58331298828125,367034.2452553072,342894.2915877521,-24139.953667555063,-6.577030339706703,6,RSI_SELL
2023-10-31,2023-11-14,COIN,PULLBACK,3,7805.55208428781,77.12000274658203,92.08999633789062,601964.198178865,718813.262857279,116849.06467841403,19.41129805259515,14,TIME_EXIT
2023-11-08,2023-11-22,PLTR,TREND_FOLLOW,3,17905.912011720593,18.489999771118164,19.690000534057617,331080.3089983758,352567.41707356717,21487.108075191383,6.489998798236229,14,TIME_EXIT
2023-11-08,2023-11-22,AMD,TREND_FOLLOW,3,1603.082804998426,113.58999633789062,122.51000213623047,182094.16994910664,196393.6778649115,14299.507915804861,7.852809301803249,14,TIME_EXIT
2023-11-14,2023-11-28,NVDA,TREND_FOLLOW,3,10125.404332582299,49.626747131347656,47.79282760620117,502490.8804157137,483921.7037101882,-18569.17670552549,-3.695425614523212,14,TIME_EXIT
2023-11-30,2023-12-01,NVDA,PULLBACK,3,7934.265874479291,46.74244689941406,46.73746109008789,370867.0013236813,370827.44258688804,-39.55873679328943,-0.01066655611097731,1,RSI_SELL
2023-11-22,2023-12-06,TSLA,TREND_FOLLOW,3,2337.8951669380585,234.2100067138672,239.3699951171875,547558.4427448803,559621.9546944593,12063.511949578999,2.2031460037590285,14,TIME_EXIT
2023-11-22,2023-12-06,AMD,TREND_FOLLOW,3,2458.2249470112574,122.51000213623047,116.81999969482422,301157.1435096842,287169.8375596644,-13987.3059500198,-4.64452072662524,14,TIME_EXIT
2023-12-06,2023-12-20,TSLA,PULLBACK,3,3135.6488224072864,239.3699951171875,247.13999938964844,750580.2433088468,774944.2480558886,24364.004747041734,3.2460226557037815,14,TIME_EXIT
2023-12-06,2023-12-20,AMD,PULLBACK,3,3533.8052978796236,116.81999969482422,135.47000122070312,412819.1338198658,478724.60801747977,65905.47419761395,15.96473341431211,14,TIME_EXIT
2023-12-06,2023-12-20,COIN,TREND_FOLLOW,3,1686.4778679801748,134.6300048828125,161.86000061035156,227050.52360092616,272973.3087406155,45922.78513968934,20.22580014851902,14,TIME_EXIT
2023-12-20,2024-01-03,TSLA,TREND_FOLLOW,3,3657.02250803514,247.13999938964844,238.4499969482422,903796.5404037351,872017.0058806322,-31779.53452310292,-3.5162266176529817,14,TIME_EXIT
2023-12-20,2024-01-03,COIN,TREND_FOLLOW,3,3071.0990692425808,161.86000061035156,152.24000549316406,497088.09722205426,467544.13917154155,-29543.95805051271,-5.943404844255429,14,TIME_EXIT
2023-12-20,2024-01-03,META,TREND_FOLLOW,3,787.5740795363647,347.1399841308594,342.3594665527344,273398.4534721298,269633.4417408306,-3765.0117312992224,-1.377115226324068,14,TIME_EXIT
2024-01-04,2024-01-10,COIN,PULLBACK,3,2935.8262677668813,155.60000610351562,151.2899932861328,456814.5851833882,444161.1363397038,-12653.448843684397,-2.7699310079175055,6,RSI_SELL
2024-01-03,2024-01-17,AMD,PULLBACK,3,6137.835708733776,135.32000732421875,160.1699981689453,830571.9730607059,983097.1342291761,152525.16116847016,18.36387045500778,14,TIME_EXIT
2024-01-05,2024-01-19,NVDA,PULLBACK,3,5119.9473508788005,49.072383880615234,59.46118927001953,251248.02185086353,304438.1584831395,53190.13663227594,21.1703703139397,14,TIME_EXIT
2024-01-17,2024-01-31,AMD,TREND_FOLLOW,3,5462.109318815147,160.1699981689453,167.69000244140625,874866.0395932012,915941.1250073399,41075.08541413862,4.695014271354948,14,TIME_EXIT
2024-01-19,2024-02-02,NVDA,TREND_FOLLOW,3,11000.063122690462,59.46118927001953,66.12683868408203,654076.8353204597,727399.3996288718,73322.56430841214,11.21008425141495,14,TIME_EXIT
2024-02-02,2024-02-13,AMD,TREND_FOLLOW,3,2528.109210123249,177.66000366210938,171.5399932861328,449143.89152870886,433671.8369311526,-15472.054597556242,-3.444787937534999,11,RSI_SELL
2024-01-31,2024-02-14,META,TREND_FOLLOW,3,2062.262453881164,387.7496032714844,470.3802795410156,799641.4483340993,970047.5895435628,170406.1412094636,21.310318714027687,14,TIME_EXIT
2024-02-02,2024-02-16,NVDA,TREND_FOLLOW,3,12349.376948538478,66.12683868408203,72.57660675048828,816625.2573249252,896275.8744076221,79650.61708269699,9.753631346600022,14,TIME_EXIT
2024-02-14,2024-02-21,PLTR,TREND_FOLLOW,3,39034.671293000625,25.190000534057617,22.739999771118164,983283.3907174492,887648.416268507,-95634.97444894223,-9.726084601018483,7,STOP_LOSS
2024-02-16,2024-03-01,NVDA,TREND_FOLLOW,3,13749.529215929262,72.57660675048828,82.23776245117188,997894.1749088475,1130730.517475038,132836.34256619052,13.311666297513405,14,TIME_EXIT
2024-02-20,2024-03-04,COIN,TREND_FOLLOW,3,3167.0039615403175,173.3000030517578,229.14999389648438,548841.7961998661,725718.9384571055,176877.14225723944,32.227345563315644,13,TAKE_PROFIT
2024-03-01,2024-03-05,TSLA,TREND_FOLLOW,3,3352.6669927547428,202.63999938964844,180.74000549316406,679384.4373655155,605961.0506872421,-73423.38667827344,-10.807340092009046,4,STOP_LOSS
2024-03-01,2024-03-15,NVDA,TREND_FOLLOW,3,15020.404188490445,82.23776245117188,87.7970962524414,1235244.4315736643,1318747.8722874697,83503.44071380538,6.760074247606565,14,TIME_EXIT
2024-03-05,2024-03-19,PLTR,PULLBACK,3,43794.57135953869,23.809999465942383,23.799999237060547,1042748.7206817919,1042310.7649444145,-437.9557373774005,-0.04200012224335764,14,TIME_EXIT
2024-03-15,2024-03-27,META,PULLBACK,3,1396.9272419822576,481.6444396972656,491.35491943359375,672822.238762391,686387.0724387845,13564.833676393493,2.01610958956188,12,RSI_SELL
2024-03-15,2024-04-01,COIN,TREND_FOLLOW,3,5047.504366666997,242.36000061035156,252.11000061035156,1223313.1613861655,1272526.3289611689,49213.16757500335,4.022941069254803,17,TIME_EXIT
2024-03-19,2024-04-02,NVDA,TREND_FOLLOW,3,9386.984587167033,89.35739135742188,89.41136169433594,838796.4554215719,839303.0741423484,506.6187207765179,0.06039829061055053,14,RSI_SELL
2024-04-05,2024-04-09,NVDA,PULLBACK,3,7126.975695006162,87.968017578125,85.3152084350586,626945.9232171717,608039.4169310473,-18906.50628612435,-3.0156518426829626,4,RSI_SELL
2024-04-01,2024-04-15,COIN,PULLBACK,3,5494.523139117629,252.11000061035156,223.41000366210938,1385224.2319565364,1227531.4346318142,-157692.79732472217,-11.383918479536822,14,STOP_LOSS
2024-04-02,2024-04-16,META,PULLBACK,3,2303.5430384583237,494.8471374511719,497.2249755859375,1139901.6785766762,1145379.1310585963,5477.452481920132,0.48051973120694796,14,TIME_EXIT
2024-05-03,2024-05-17,TSLA,TREND_FOLLOW,3,8669.024114313514,181.19000244140625,177.4600067138672,1570740.500437075,1538405.0775287526,-32335.42290832242,-2.0586101204702336,14,RSI_SELL
2024-05-08,2024-05-22,NVDA,TREND_FOLLOW,3,9559.570919574373,90.37092590332031,94.9068603515625,863907.2752403913,907268.862284903,43361.58704451169,5.019240870780474,14,TIME_EXIT
2024-05-22,2024-05-23,TSLA,PULLBACK,3,3260.188249111964,180.11000061035156,173.74000549316406,587192.5075374169,566425.1243094616,-20767.383227955317,-3.536724832380799,1,RSI_SELL
2024-05-20,2024-06-03,AMD,TREND_FOLLOW,3,6887.542014041785,166.3300018310547,163.5500030517578,1145604.8758070362,1126457.517415644,-19147.358391392278,-1.671375427579572,14,TIME_EXIT
2024-05-22,2024-06-05,NVDA,TREND_FOLLOW,3,11249.162990139363,94.9068603515625,122.3843765258789,1067622.7409771217,1376721.7989861977,309099.05800907593,28.952086363969613,14,TAKE_PROFIT
2024-06-05,2024-06-10,AMD,TREND_FOLLOW,3,4666.783359343179,166.1699981689453,160.33999633789062,775479.3822769205,748272.0267468141,-27207.355530106346,-3.508456337062319,5,RSI_SELL
2024-06-03,2024-06-11,TSLA,PULLBACK,3,6000.400803305413,176.2899932861328,170.66000366210938,1057810.6173288173,1024028.4230662258,-33782.19426259142,-3.19359568803518,8,RSI_SELL
2024-06-05,2024-06-20,NVDA,TREND_FOLLOW,3,11520.772121861648,122.3843765258789,130.73133850097656,1409962.5132307648,1506125.9600557091,96163.44682494435,6.820283938230174,15,TIME_EXIT
2024-06-20,2024-06-24,NVDA,TREND_FOLLOW,3,10657.364398731797,130.73133850097656,118.0660400390625,1393251.5127388632,1258272.8118115477,-134978.7009273155,-9.688035483411998,4,STOP_LOSS
2024-06-11,2024-06-25,PLTR,TREND_FOLLOW,3,49596.683339139214,23.850000381469727,24.559999465942383,1182880.9165581034,1218094.5163217725,35213.59976366907,2.97693531705052,14,TIME_EXIT
2024-06-20,2024-07-02,TSLA,PULLBACK,3,4220.34642890144,181.57000732421875,231.25999450683594,766288.3320063748,975997.2919646917,209708.95995831687,27.366847594982342,12,TAKE_PROFIT
2024-06-24,2024-07-08,NVDA,PULLBACK,3,7593.807029490712,118.0660400390625,128.1522674560547,896570.7247927646,973163.5894529619,76592.86466019729,8.542869239668866,14,TIME_EXIT
2024-07-02,2024-07-16,TSLA,TREND_FOLLOW,3,7116.570004625774,231.25999450683594,256.55999755859375,1645777.94017727,1825827.1830123502,180049.24283508025,10.940069036026014,14,TIME_EXIT
2024-07-08,2024-07-17,NVDA,PULLBACK,3,10883.940594147214,128.1522674560547,117.94608306884766,1394801.6659969646,1283718.1614336905,-111083.5045632741,-7.964107533803006,9,RSI_SELL
2024-07-17,2024-07-18,NET,PULLBACK,3,9851.639775205023,80.58000183105469,78.5199966430664,793845.151124912,773550.7220777979,-20294.4290471141,-2.556472004440166,1,RSI_SELL
2024-07-16,2024-07-24,TSLA,TREND_FOLLOW,3,6666.262877465789,256.55999755859375,215.99000549316406,1710296.387567567,1439846.1555227113,-270450.2320448556,-15.813062227740406,8,STOP_LOSS
2024-07-17,2024-07-30,PLTR,TREND_FOLLOW,3,51146.52215969675,28.219999313354492,26.3700008392334,1443354.8202271126,1348733.832275073,-94620.98795203958,-6.555629054340978,13,RSI_SELL
2024-07-24,2024-07-30,COIN,TREND_FOLLOW,3,5045.257463965454,245.05999755859375,224.4600067138672,1236390.781801851,1132458.5242348744,-103932.2575669766,-8.406100975252434,6,STOP_LOSS
2024-07-31,2024-08-01,TSLA,PULLBACK,3,7163.907429763147,232.07000732421875,216.86000061035156,1662528.0496951586,1553564.9695909382,-108963.08010422043,-6.5540596517574485,1,RSI_SELL
2024-08-13,2024-08-27,META,TREND_FOLLOW,3,2925.5316619324635,526.381103515625,516.9796142578125,1539944.5845779106,1512440.230084862,-27504.354493048508,-1.7860613147055084,14,TIME_EXIT
2024-08-14,2024-08-28,PLTR,TREND_FOLLOW,3,27321.597468317766,31.0,30.360000610351562,846969.5215178508,829483.7158139071,-17485.80570394371,-2.0645141601562553,14,TIME_EXIT
2024-08-21,2024-08-29,NVDA,TREND_FOLLOW,3,3626.5114065048297,128.45216369628906,117.54622650146484,465833.23683481786,426282.73119916255,-39550.50563565531,-8.490271304896117,8,STOP_LOSS
2024-08-28,2024-09-03,META,PULLBACK,3,2486.4626132767153,514.669189453125,509.6696472167969,1279705.6977806261,1267274.5229264982,-12431.174854127923,-0.9714088853153594,6,RSI_SELL
2024-08-30,2024-09-03,NET,TREND_FOLLOW,3,10579.11830985977,82.13999938964844,78.11000061035156,868968.7715149001,826334.9376401281,-42633.83387477207,-4.906256159291799,4,RSI_SELL
2024-09-03,2024-09-05,PLTR,PULLBACK,3,45325.735507110185,30.510000228881836,30.15999984741211,1382888.2006961694,1367024.1759782848,-15864.024717884604,-1.1471661056836253,2,RSI_SELL
2024-09-04,2024-09-18,TSLA,TREND_FOLLOW,3,3466.5170123883545,219.41000366210938,227.1999969482422,760588.5103828933,787592.6546356637,27004.144252770464,3.5504275812917707,14,TIME_EXIT
2024-09-09,2024-09-23,PLTR,TREND_FOLLOW,3,29560.011223157373,34.599998474121094,37.95000076293945,1022776.3432162475,1121802.448471321,99026.10525507352,9.682087966922817,14,TIME_EXIT
2024-09-18,2024-10-02,TSLA,TREND_FOLLOW,3,4116.071713410471,227.1999969482422,249.02000427246094,935171.4807256049,1024984.195659231,89812.71493362612,9.603876592124037,14,TIME_EXIT
2024-09-23,2024-10-07,PLTR,TREND_FOLLOW,3,28616.548496064766,37.95000076293945,38.88999938964844,1085998.0372583517,1112897.5535458038,26899.516287452076,2.476939678027508,14,TIME_EXIT
2024-09-30,2024-10-14,NVDA,TREND_FOLLOW,3,4919.87964338565,121.40518951416016,138.0304412841797,597298.9204920934,679093.1582415738,81794.23774948041,13.694020689354844,14,TIME_EXIT
2024-10-07,2024-10-21,PLTR,TREND_FOLLOW,3,35210.644663872896,38.88999938964844,42.70000076293945,1369341.9494871448,1503494.5540109626,134152.60452381778,9.796866631746841,14,TIME_EXIT
2024-10-14,2024-10-28,NVDA,TREND_FOLLOW,3,8070.256774838052,138.0304412841797,140.479736328125,1113941.103907537,1133707.543829514,19766.439921977,1.7744600547227602,14,TIME_EXIT
2024-10-21,2024-10-31,COIN,TREND_FOLLOW,3,6456.078778900899,213.72000122070312,179.25,1379793.1645076557,1157252.1211179863,-222541.0433896694,-16.128579928795165,10,STOP_LOSS
2024-10-28,2024-10-31,PLTR,TREND_FOLLOW,3,15684.196598546956,44.970001220703125,41.560001373291016,705318.3401824044,651835.2321745778,-53483.10800782661,-7.5828324546324986,3,RSI_SELL
2024-10-31,2024-11-08,TSLA,TREND_FOLLOW,3,4065.2314151549454,249.85000610351562,321.2200012207031,1015698.0938886666,1305833.6401385122,290135.54624984565,28.565136431342776,8,TAKE_PROFIT
