date,equity,cash,positions,peak,drawdown
2021-09-24,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-27,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-28,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-29,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-30,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-10-01,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-10-04,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-10-05,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-10-06,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-10-07,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-10-08,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-10-11,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-10-12,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-10-13,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-10-14,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-10-15,8496.284940769248,7029.584959079795,1,10074.818123832021,-15.668106001127171
2021-10-18,8538.943732506843,7029.584959079795,1,10074.818123832021,-15.244686032515679
2021-10-19,8587.416834408165,7029.584959079795,1,10074.818123832021,-14.763554747508575
2021-10-20,8561.789767746024,7029.584959079795,1,10074.818123832021,-15.017922283945975
2021-10-21,8508.67459814138,7029.584959079795,1,10074.818123832021,-15.545129514407035
2021-10-22,8472.294416623283,7029.584959079795,1,10074.818123832021,-15.906229646150758
2021-10-25,8536.186062381224,5119.986111209346,1,10074.818123832021,-15.27205794227845
2021-10-26,8507.398948310789,4379.959122226191,2,10074.818123832021,-15.557791279760139
2021-10-27,8536.820213876737,4379.959122226191,2,10074.818123832021,-15.265763521002368
2021-10-28,8631.793482680449,4379.959122226191,2,10074.818123832021,-14.323083785880883
2021-10-29,8720.144000288366,4379.959122226191,2,10074.818123832021,-13.44613974061892
2021-11-01,8828.539687797911,4379.959122226191,2,10074.818123832021,-12.370232600884712
2021-11-02,8793.23765915876,4379.959122226191,2,10074.818123832021,-12.720631270173282
2021-11-03,8570.154083502,3626.2991586184025,3,10074.818123832021,-14.934900281432695
2021-11-04,8891.60760221088,7315.267666156553,2,10074.818123832021,-11.74423703810844
2021-11-05,8929.831887660555,8116.118761773561,1,10074.818123832021,-11.36483281482766
2021-11-08,8898.075199939225,6614.518725152466,2,10074.818123832021,-11.68004136083813
2021-11-09,8877.060857966493,6614.518725152466,2,10074.818123832021,-11.888624202874974
2021-11-10,8725.250345003376,5438.515459771606,3,10074.818123832021,-13.39545550342231
2021-11-11,8856.658014194367,5438.515459771606,3,10074.818123832021,-12.091137474294369
2021-11-12,8790.396752703298,5438.515459771606,3,10074.818123832021,-12.748829361896064
2021-11-15,8774.313564521675,6163.28534276737,2,10074.818123832021,-12.908466865858326
2021-11-16,8717.187749504017,6163.28534276737,2,10074.818123832021,-13.475482709871697
2021-11-17,8650.187051799336,6163.28534276737,2,10074.818123832021,-14.140514047223496
2021-11-18,8612.629357894208,7505.308965405341,1,10074.818123832021,-14.513301857817169
2021-11-19,8738.604561268074,7505.308965405341,1,10074.818123832021,-13.262905058336777
2021-11-22,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-11-23,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-11-24,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-11-26,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
