date,equity,peak,dd
2020-09-28,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-29,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-30,13638.228138907547,20410.197602346776,-33.179342970499135
2020-10-01,13638.228138907547,20410.197602346776,-33.179342970499135
2020-10-02,13638.228138907547,20410.197602346776,-33.179342970499135
2020-10-03,13638.228138907547,20410.197602346776,-33.179342970499135
2020-10-04,13638.228138907547,20410.197602346776,-33.179342970499135
2020-10-05,13638.228138907547,20410.197602346776,-33.179342970499135
2020-10-06,13512.893651780923,20410.197602346776,-33.79342074460267
2020-10-07,13555.723027248263,20410.197602346776,-33.583577722492905
2020-10-08,13719.389649938814,20410.197602346776,-32.78169120537397
2020-10-09,13818.082104361929,20410.197602346776,-32.29814637966504
2020-10-10,13971.921784947202,20410.197602346776,-31.5444070794263
2020-10-11,14030.179893566317,20410.197602346776,-31.25897080019882
2020-10-12,14143.738116365053,20410.197602346776,-30.7025909698258
2020-10-13,14057.854568218261,20410.197602346776,-31.123378410594704
2020-10-14,14039.409844886244,20410.197602346776,-31.213748546599152
2020-10-15,14058.154767813325,20410.197602346776,-31.121907579195067
2020-10-16,13806.339983422116,20410.197602346776,-32.35567703746946
2020-10-17,13862.280057455968,20410.197602346776,-32.0815979955918
2020-10-18,14059.624404489916,20410.197602346776,-31.114707077243914
2020-10-19,14252.249018515933,20410.197602346776,-30.170940545537878
2020-10-20,14207.413670364589,20410.197602346776,-30.390611854090956
2020-10-21,14941.820245282706,20410.197602346776,-26.79237831796059
2020-10-22,15276.318659435496,20410.197602346776,-25.15349945617863
2020-10-23,15210.256390366563,20410.197602346776,-25.47717231009229
2020-10-24,15331.229951461697,20410.197602346776,-24.8844609436858
2020-10-25,15216.663943283827,20410.197602346776,-25.445778430218596
2020-10-26,15088.132254773755,20410.197602346776,-26.075520929601815
2020-10-27,15500.571089692974,20410.197602346776,-24.05477207182595
2020-10-28,15097.255871622545,20410.197602346776,-26.03081966297742
2020-10-29,15153.868144348302,20410.197602346776,-25.753447175808326
2020-10-30,15154.04436724811,20410.197602346776,-25.752583769665762
2020-10-31,15323.215638978832,20410.197602346776,-24.923727160696572
2020-11-01,15436.34519254847,20410.197602346776,-24.369447600185946
2020-11-02,15160.680177438422,20410.197602346776,-25.720071540633988
2020-11-03,15403.766295779984,20410.197602346776,-24.529068282960427
2020-11-04,15688.093443719805,20410.197602346776,-23.136004122194393
2020-11-05,16509.921964945246,20410.197602346776,-19.109445745655464
2020-11-06,17065.57521411217,20410.197602346776,-16.387016203361203
2020-11-07,16470.22529786952,20410.197602346776,-19.30394002664744
2020-11-08,17010.264961694946,20410.197602346776,-16.65800942691953
2020-11-09,16813.532944507187,20410.197602346776,-17.62190022808031
2020-11-10,16870.98410026727,20410.197602346776,-17.340417623749836
2020-11-11,17243.141078206576,20410.197602346776,-15.517030191692266
2020-11-12,17477.019042138305,20410.197602346776,-14.371142393404426
2020-11-13,17686.313579661983,20410.197602346776,-13.345701378077788
2020-11-14,17370.47282536074,20410.197602346776,-14.893166818906876
2020-11-15,17143.292287112978,20410.197602346776,-16.006240502336773
2020-11-16,17661.909220745976,20410.197602346776,-13.465270817783754
2020-11-17,18336.38351803814,20410.197602346776,-10.16067617135754
