date,equity,positions,cummax,drawdown
2020-05-26,57471.90592239077,2,59616.48543526837,-3.5972927575648304
2020-05-27,56627.01093231868,2,59616.48543526837,-5.014509797286969
2020-05-28,55990.00093902279,2,59616.48543526837,-6.083022958780781
2020-05-29,58714.98911876849,2,59616.48543526837,-1.5121594470353719
2020-06-01,60410.44663693077,2,60410.44663693077,0.0
2020-06-02,59969.93973200615,2,60410.44663693077,-0.7291899488379674
2020-06-03,59757.3736927461,2,60410.44663693077,-1.0810596188928472
2020-06-04,59168.653902941405,2,60410.44663693077,-2.0555927047727183
2020-06-05,60556.894154888665,2,60556.894154888665,0.0
2020-06-08,62078.03755586422,2,62078.03755586422,0.0
2020-06-09,62992.370050030666,2,62992.370050030666,0.0
2020-06-10,67084.34119503274,2,67084.34119503274,0.0
2020-06-11,62716.37052424277,2,67084.34119503274,-6.511162803389654
2020-06-12,62271.951578612105,2,67084.34119503274,-7.17364071956776
2020-06-15,65116.403532547396,2,67084.34119503274,-2.933527597392672
2020-06-16,64336.21385334198,2,67084.34119503274,-4.096525795343503
2020-06-17,65450.10042701704,2,67084.34119503274,-2.436098706350137
2020-06-18,65723.14259644796,2,67084.34119503274,-2.0290854383251746
2020-06-19,65845.58938738167,2,67084.34119503274,-1.846558802820588
2020-06-22,66960.24276624381,2,67084.34119503274,-0.1849886673674578
2020-06-23,66532.73721727524,3,67084.34119503274,-0.8222544455700037
2020-06-24,63644.64588589342,3,67084.34119503274,-5.127419078528589
2020-06-25,65500.43273963272,3,67084.34119503274,-2.361070299244889
2020-06-26,62386.40335274593,3,67084.34119503274,-7.00303194247463
2020-06-29,64127.89838638187,2,67084.34119503274,-4.407053503075589
2020-06-30,67751.81130028807,2,67751.81130028807,0.0
2020-07-01,69130.60147019589,2,69130.60147019589,0.0
2020-07-02,72263.25331712008,2,72263.25331712008,0.0
2020-07-06,78372.12018320055,2,78372.12018320055,0.0
2020-07-07,79028.58675130024,2,79028.58675130024,0.0
2020-07-08,80324.57058443189,2,80324.57058443189,0.0
2020-07-09,82696.58533029197,2,82696.58533029197,0.0
2020-07-10,86440.15050506263,2,86440.15050506263,0.0
2020-07-13,82822.05597769725,2,86440.15050506263,-4.185664307876781
2020-07-14,85145.97143640168,2,86440.15050506263,-1.497196685914086
2020-07-15,85070.4365657745,2,86440.15050506263,-1.5845806969157403
2020-07-16,83375.1261016411,2,86440.15050506263,-3.545834181815794
2020-07-17,83752.50570797673,2,86440.15050506263,-3.1092551104807375
2020-07-20,89172.75771153515,2,89172.75771153515,0.0
2020-07-21,86036.04593416922,3,89172.75771153515,-3.517567313004799
