symbol,entry_date,entry_price,shares,strategy,confidence,exit_date,exit_price,exit_reason,pnl,pnl_pct,days_held
PLTR,2024-11-21,61.36000061035156,263866,ML_ENSEMBLE,0.9225047867870712,2024-12-09,72.45999908447266,TIME_EXIT,2928912.1973724365,0.18089958219864327,18
AAPL,2024-11-21,227.71163940429688,85873,ML_ENSEMBLE,0.8935103520906641,2024-12-06,241.98097229003906,TIME_EXIT,1225350.4228973389,0.06266404705122389,15
META,2024-11-27,567.4158325195312,35324,ML_ENSEMBLE,1.0054198812583748,2024-12-12,628.812744140625,TIME_EXIT,2168784.5061035156,0.1082044386186217,15
QQQ,2024-11-29,507.0036926269531,30712,ML_ENSEMBLE,1.0690356401919276,2024-12-16,535.2811279296875,TIME_EXIT,868456.5930175781,0.05577362791229324,17
GOOGL,2024-12-06,173.9429168701172,150664,ML_ENSEMBLE,0.9170658095402522,2024-12-16,196.02093505859375,TAKE_PROFIT,3326362.532348633,0.1269268021126849,17
TSLA,2024-12-10,400.989990234375,23345,ML_ENSEMBLE,0.9133982934802253,2024-12-26,454.1300048828125,TIME_EXIT,1240553.6419677734,0.13252204778821947,16
PLTR,2024-12-13,76.06999969482422,169667,ML_ENSEMBLE,0.7556736240562097,2024-12-30,77.18000030517578,TIME_EXIT,188330.47355651855,0.014591831402716393,17
NVDA,2024-12-16,131.9712371826172,205289,ML_ENSEMBLE,0.9234691107715426,2024-12-31,134.26075744628906,TIME_EXIT,470013.32540893555,0.017348630751288,15
COIN,2024-12-27,265.7099914550781,48342,ML_ENSEMBLE,0.8769391993501343,2025-01-15,274.92999267578125,TIME_EXIT,445713.29901123047,0.03469949011029904,19
NET,2024-12-27,110.61000061035156,164212,ML_ENSEMBLE,0.8532464559084202,2025-01-13,110.70999908447266,TIME_EXIT,16420.949432373047,0.0009040635889096567,17
TSLA,2025-01-02,379.2799987792969,38198,ML_ENSEMBLE,0.789325132721463,2025-01-17,426.5,TIME_EXIT,1803709.606628418,0.12449905445232944,15
SPY,2025-01-13,576.3399047851562,79966,ML_ENSEMBLE,0.9901301347602787,2025-01-28,599.26904296875,TIME_EXIT,1833551.4639892578,0.039784054501902144,15
NET,2025-01-13,110.70999908447266,131913,ML_ENSEMBLE,0.9822841801469132,2025-01-28,139.97999572753906,TAKE_PROFIT,3861093.067176819,0.2643843996487901,15
PLTR,2025-01-15,68.13999938964844,176681,ML_ENSEMBLE,0.9801326481687777,2025-01-30,81.22000122070312,TIME_EXIT,2310987.8035125732,0.1919577626682772,15
AMZN,2025-01-21,230.7100067138672,90686,ML_ENSEMBLE,1.0115980658267207,2025-02-05,236.1699981689453,TIME_EXIT,495144.78509521484,0.02366603656619782,15
META,2025-01-28,672.758544921875,61517,ML_ENSEMBLE,0.9603063444645727,2025-02-12,723.6895751953125,TIME_EXIT,3133124.1893310547,0.07570476905551893,15
NET,2025-01-30,137.25999450683594,153070,ML_ENSEMBLE,0.9655402580998617,2025-02-07,166.66000366210938,TAKE_PROFIT,4500259.401397705,0.2141921195677247,10
PLTR,2025-01-30,81.22000122070312,149067,ML_ENSEMBLE,0.9502405533029029,2025-02-04,103.83000183105469,TAKE_PROFIT,3370404.9609832764,0.27837971276203616,5
PLTR,2025-02-05,101.36000061035156,177811,ML_ENSEMBLE,0.9223008237331197,2025-02-20,106.2699966430664,TIME_EXIT,873051.3045730591,0.04844116025205906,15
AAPL,2025-02-07,226.8247833251953,130614,ML_ENSEMBLE,0.8217822008352756,2025-02-24,246.49664306640625,TIME_EXIT,2569420.2882385254,0.08672711796668041,17
TSLA,2025-02-11,328.5,27070,ML_ENSEMBLE,0.8732060869329763,2025-05-13,334.07000732421875,TIME_EXIT,150780.09826660156,0.016955882265506088,91
COIN,2025-02-26,212.9600067138672,78020,ML_ENSEMBLE,0.6584463706724435,2025-05-13,256.8999938964844,TIME_EXIT,3428197.799987793,0.2063297605059475,76
NVDA,2025-03-06,110.5459213256836,250852,ML_ENSEMBLE,0.6739644831387921,2025-03-21,117.68518829345703,TIME_EXIT,1790899.3973999023,0.06458191204305194,15
PLTR,2025-03-10,76.37999725341797,346991,ML_ENSEMBLE,0.8112629000755214,2025-03-24,96.75,TAKE_PROFIT,7068207.623039246,0.2666928970813819,26
PLTR,2025-04-02,87.44999694824219,619432,ML_ENSEMBLE,0.7662911949492686,2025-04-17,93.77999877929688,TIME_EXIT,3921005.694213867,0.07238424301834039,15
PLTR,2025-04-17,93.77999877929688,1105269,ML_ENSEMBLE,0.8763499386072416,2025-04-29,116.08000183105469,TAKE_PROFIT,24647502.073013306,0.23779060931999949,62
QQQ,2025-04-17,443.088134765625,283446,ML_ENSEMBLE,0.7304627723808202,2025-05-01,480.58251953125,TAKE_PROFIT,10627633.384277344,0.08462060214150838,64
META,2025-04-29,553.6400756835938,219150,ML_ENSEMBLE,0.7459543166461431,2025-05-12,638.5073852539062,TAKE_PROFIT,18598670.892333984,0.15328967915757297,75
AMD,2025-05-02,98.80000305175781,297906,ML_ENSEMBLE,0.7319831596434458,2025-05-19,114.73999786376953,TIME_EXIT,4748620.094467163,0.1613359748952773,17
PLTR,2025-05-12,118.45999908447266,984538,ML_ENSEMBLE,0.8555245591455777,2025-05-27,123.38999938964844,TIME_EXIT,4853772.640457153,0.04161742650074011,15
COIN,2025-05-15,244.44000244140625,227892,ML_ENSEMBLE,0.7323510414649097,2025-05-30,246.6199951171875,TIME_EXIT,496802.8908691406,0.008918313917558594,15
GOOGL,2025-05-15,163.61541748046875,783259,ML_ENSEMBLE,0.7163254015338967,2025-05-30,171.37905883789062,TIME_EXIT,6080941.9659729,0.04745054883564774,15
TSLA,2025-05-20,343.82000732421875,119770,ML_ENSEMBLE,0.7643757001438659,2025-06-23,348.67999267578125,TIME_EXIT,582080.4455566406,0.014135260450330872,34
NET,2025-05-27,161.75999450683594,619620,ML_ENSEMBLE,0.9137950459227229,2025-06-11,179.7100067138672,TIME_EXIT,11122186.563720703,0.11096694372274281,15
NVDA,2025-05-30,135.11300659179688,888934,ML_ENSEMBLE,0.9071068612858421,2025-06-16,144.6818389892578,TIME_EXIT,8506060.458404541,0.07082095675933164,17
PLTR,2025-06-05,119.91000366210938,747167,ML_ENSEMBLE,0.9487879473926,2025-06-20,137.3000030517578,TIME_EXIT,12993233.673965454,0.14502542622424705,15
AMD,2025-06-11,121.13999938964844,324571,ML_ENSEMBLE,0.992608289994451,2025-06-26,143.67999267578125,TIME_EXIT,7315828.160873413,0.18606565461200492,15
QQQ,2025-06-18,527.78466796875,431300,ML_ENSEMBLE,1.0816825411965905,2025-07-03,555.575927734375,TIME_EXIT,11986370.336914062,0.0526564363314747,15
SPY,2025-06-20,592.636962890625,278601,ML_ENSEMBLE,1.0895789808948553,2025-07-07,618.9639892578125,TIME_EXIT,7334735.872924805,0.04442353078818394,17
GOOGL,2025-06-24,166.62098693847656,615173,ML_ENSEMBLE,0.9795379559338225,2025-07-09,176.46217346191406,TIME_EXIT,6054032.237182617,0.05906330711551527,15
AAPL,2025-06-27,200.85205078125,321285,ML_ENSEMBLE,0.9331156151777505,2025-07-14,208.3834991455078,TIME_EXIT,2419741.3877105713,0.037497492980344965,17
PLTR,2025-07-03,134.36000061035156,665808,ML_ENSEMBLE,1.004132148136369,2025-07-18,153.52000427246094,TIME_EXIT,12756883.718261719,0.14260199147865457,15
NVDA,2025-07-07,158.2310791015625,780438,ML_ENSEMBLE,0.980857463218329,2025-07-22,167.0205841064453,TIME_EXIT,6859663.707000732,0.05554853733406674,15
AMD,2025-07-09,138.41000366210938,308219,ML_ENSEMBLE,1.0018531401576702,2025-07-24,162.1199951171875,TIME_EXIT,7307869.856292725,0.17130258527381925,15
TSLA,2025-07-15,310.7799987792969,263593,ML_ENSEMBLE,0.9437909335443594,2025-07-30,319.0400085449219,TIME_EXIT,2177280.7541503906,0.02657831841839641,15
PLTR,2025-07-21,151.7899932861328,762002,ML_ENSEMBLE,0.9610051477743784,2025-08-05,173.27000427246094,TIME_EXIT,16367811.331604004,0.14151137714221435,15
NVDA,2025-07-22,167.0205841064453,816245,ML_ENSEMBLE,0.9769625918926133,2025-08-06,179.40988159179688,TIME_EXIT,10112702.125930786,0.07417826701800799,15
MSFT,2025-07-24,510.0415344238281,359828,ML_ENSEMBLE,1.014083069811789,2025-08-08,521.1832275390625,TIME_EXIT,4009093.1502685547,0.02184467805709326,15
QQQ,2025-08-01,553.2386474609375,241870,ML_ENSEMBLE,1.0755396235041872,2025-08-18,576.4417114257812,TIME_EXIT,5612125.081176758,0.04194042493476027,17
AMD,2025-08-06,163.1199951171875,260517,ML_ENSEMBLE,0.9522992514329088,2025-08-21,163.7100067138672,TIME_EXIT,153708.05113220215,0.0036170403037090308,15
COIN,2025-08-06,303.5799865722656,189738,ML_ENSEMBLE,0.8383512800855513,2025-08-22,319.8500061035156,TIME_EXIT,3087040.9658203125,0.05359384758842463,16
AMZN,2025-08-08,222.69000244140625,802553,ML_ENSEMBLE,0.8380471120848538,2025-08-25,227.94000244140625,TIME_EXIT,4213403.25,0.023575373579608136,17
TSLA,2025-08-18,335.1600036621094,234156,ML_ENSEMBLE,0.8216957903420866,2025-09-04,338.5299987792969,TIME_EXIT,789104.5766601562,0.010054884474177746,17
