date,equity,cash,positions,cummax,drawdown
2025-06-09,41236.57785763817,12129.63957231362,2,42728.51689971377,-3.491670552425836
2025-06-10,41834.01990781879,12129.63957231362,2,42728.51689971377,-2.0934426392435315
2025-06-11,41547.806021930366,12129.63957231362,2,42728.51689971377,-2.7632854202606705
2025-06-12,40080.533085659226,12129.63957231362,2,42728.51689971377,-6.197228469851911
2025-06-13,39828.28898930768,12129.63957231362,2,42728.51689971377,-6.787569803120226
2025-06-16,41833.63267972654,12129.63957231362,2,42728.51689971377,-2.094348891368203
2025-06-17,41944.66020629761,12129.63957231362,2,42728.51689971377,-1.8345047998176958
2025-06-18,41910.88499969445,12129.63957231362,2,42728.51689971377,-1.9135508539609583
2025-06-20,41243.677301315125,12213.304903457263,2,42728.51689971377,-3.4750553169997693
2025-06-23,41609.880085401266,12468.285673712751,2,42728.51689971377,-2.618009927510498
2025-06-24,44354.46521093409,12468.285673712751,2,44354.46521093409,0.0
2025-06-25,46766.00672686416,12468.285673712751,2,46766.00672686416,0.0
2025-06-26,46972.22204242412,12468.285673712751,2,46972.22204242412,0.0
2025-06-27,47552.02349393036,12468.285673712751,2,47552.02349393036,0.0
2025-06-30,47170.42519954468,12468.285673712751,2,47552.02349393036,-0.8024859224642411
2025-07-01,44921.14059303914,12468.285673712751,2,47552.02349393036,-5.532641321198525
2025-07-02,46260.261401274125,12468.285673712751,2,47552.02349393036,-2.7165239199991578
2025-07-03,46553.32039012569,13319.554612191976,2,47552.02349393036,-2.100232609306618
2025-07-07,45626.64918601411,13319.554612191976,2,47552.02349393036,-4.048985019874098
2025-07-08,45785.16224266992,13262.361673151472,2,47552.02349393036,-3.715638413338963
2025-07-09,48080.258218206705,13262.361673151472,2,48080.258218206705,0.0
2025-07-10,49682.91369244165,13262.361673151472,2,49682.91369244165,0.0
2025-07-11,49681.839652838906,13262.361673151472,2,49682.91369244165,-0.0021617886772815724
2025-07-14,50128.40415818442,13262.361673151472,2,50128.40415818442,0.0
2025-07-15,50957.96204057184,13262.361673151472,2,50957.96204057184,0.0
2025-07-16,52006.4256622126,13262.361673151472,2,52006.4256622126,0.0
2025-07-17,53475.149086200414,14158.907517465617,2,53475.149086200414,0.0
2025-07-18,54157.44804108738,14158.907517465617,2,54157.44804108738,0.0
2025-07-21,53388.59473071817,14158.907517465617,2,54157.44804108738,-1.4196631085458595
2025-07-22,51794.82912782849,16498.211077219272,2,54157.44804108738,-4.362500447706573
2025-07-23,53960.36898975703,16498.211077219272,2,54157.44804108738,-0.36390018078553826
2025-07-24,54645.79633792414,16498.211077219272,2,54645.79633792414,0.0
2025-07-25,55564.874684113296,16498.211077219272,2,55564.874684113296,0.0
2025-07-28,56028.7676650458,16498.211077219272,2,56028.7676650458,0.0
2025-07-29,55361.56662936258,16498.211077219272,2,56028.7676650458,-1.1908186874141424
2025-07-30,56743.82990759685,16498.211077219272,2,56743.82990759685,0.0
2025-07-31,56369.61775432397,16518.33617423977,2,56743.82990759685,-0.6594763763430528
2025-08-01,54445.57460362936,16518.33617423977,2,56743.82990759685,-4.050229439412243
2025-08-04,57410.30190204742,16518.33617423977,2,57410.30190204742,0.0
2025-08-05,60179.01255463305,17294.612352372784,2,60179.01255463305,0.0
2025-08-06,62004.398446637366,17294.612352372784,2,62004.398446637366,0.0
2025-08-07,62968.88658673556,17294.612352372784,2,62968.88658673556,0.0
2025-08-08,64587.17410913788,17294.612352372784,2,64587.17410913788,0.0
2025-08-11,63374.77363733598,17294.612352372784,2,64587.17410913788,-1.8771536121911963
2025-08-12,64691.59634012745,17294.612352372784,2,64691.59634012745,0.0
2025-08-13,63693.37106123706,17294.612352372784,2,64691.59634012745,-1.5430524756910327
2025-08-14,62960.98751606438,15376.309876430641,2,64691.59634012745,-2.6751679073802572
2025-08-15,61612.47432804707,15376.309876430641,2,64691.59634012745,-4.75969397306468
2025-08-18,61210.06199809098,15376.309876430641,2,64691.59634012745,-5.381741275530884
2025-08-19,57313.23355311563,17390.74095489855,2,64691.59634012745,-11.405442444515948
2025-08-20,57313.23355311563,57313.23355311563,0,64691.59634012745,-11.405442444515948
2025-08-21,57313.23355311563,57313.23355311563,0,64691.59634012745,-11.405442444515948
2025-08-22,57313.23355311563,57313.23355311563,0,64691.59634012745,-11.405442444515948
2025-08-25,58501.04790324009,17193.970065934696,2,64691.59634012745,-9.569323972683346
2025-08-26,59541.066574307944,17193.970065934696,2,64691.59634012745,-7.9616674455514875
2025-08-27,59258.50077356164,17193.970065934696,2,64691.59634012745,-8.398456482663304
2025-08-28,58509.034451885396,17193.970065934696,2,64691.59634012745,-9.556978399073886
2025-08-29,57080.120880126444,37744.97623521174,1,64691.59634012745,-11.765787042852265
2025-09-02,56547.965164353285,37744.97623521174,1,64691.59634012745,-12.58839113036814
2025-09-03,56547.965164353285,56547.965164353285,0,64691.59634012745,-12.58839113036814
2025-09-04,57074.02453247829,36756.177356829634,1,64691.59634012745,-11.775210751638339
2025-09-05,59379.212990754546,16780.268770462233,2,64691.59634012745,-8.21186004043263
2025-09-08,59517.179073776075,16780.268770462233,2,64691.59634012745,-7.998592644314982
2025-09-09,59706.483955486736,16780.268770462233,2,64691.59634012745,-7.705965947154262
2025-09-10,60642.70866409413,16780.268770462233,2,64691.59634012745,-6.25875369459981
2025-09-11,63450.936251948355,16780.268770462233,2,64691.59634012745,-1.9178071934662206
2025-09-12,66033.66950521564,16780.268770462233,2,66033.66950521564,0.0
